customer_id,name,email,address,phone_number,registration_date,status,product,quantity,price,order_date,shipping_date,payment_method,order_status,last_login,latitude,longitude,transaction_id,ip_address,user_agent
11,Charles Vaughan,susanrodriguez@example.org,"6026 Victoria Creek
Leebury, HI 45907",916-658-6682x5393,2022-04-22,inactive,my,8,14.09,2023-09-05,2024-11-30,Bank Transfer,Shipped,2024-05-18 14:04:48.736614,2.293204,-17.828127,ee9736dd-a461-4bb4-ab64-ead677e291ce,114.63.231.197,Opera/9.33.(Windows NT 5.0; gv-GB) Presto/2.9.172 Version/12.00
12,Micheal Gonzales,jasonwalter@example.org,"589 Holland Row
North Kathleenfort, NH 56240",+1-952-741-5504x333,2022-08-14,inactive,interest,9,43.6,2024-08-12,2024-12-01,Bank Transfer,Delivered,2023-12-24 15:48:34.212127,-80.528906,32.143439,cd60b3fe-6663-439a-862f-a8f69c5635a1,73.88.21.144,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_2_2 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/10.8d9428.0 Mobile/61C807 Safari/533.2"
13,Crystal Young,rodneyclark@example.com,"1992 Rowland Forges
Watsonshire, NJ 31248",525.847.2738,2022-10-20,pending,loss,5,90.43,2023-03-12,2024-12-12,Bank Transfer,Delivered,2024-09-22 00:50:02.200679,-5.0328155,159.331179,97bbced6-f23a-453a-9b45-e706d3908502,50.70.140.144,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_0; rv:1.9.4.20) Gecko/4390-10-03 17:21:03.875137 Firefox/3.8
14,Joshua Donovan,aclarke@example.net,"251 Smith Mission Apt. 514
Christopherview, HI 15927",001-681-620-0620x969,2021-05-06,inactive,economic,10,93.73,2024-02-25,2024-11-27,PayPal,Shipped,2024-04-28 07:33:01.291348,55.919457,149.462524,df4798d3-5612-4835-ac6f-8392d1bd5ceb,171.88.64.234,Opera/9.34.(Windows NT 4.0; ayc-PE) Presto/2.9.179 Version/12.00
15,David Green,jeffrey58@example.org,"3587 Gutierrez Way Apt. 320
Rodriguezfort, VT 47906",830-538-2607x42470,2022-07-06,pending,develop,4,44.62,2024-05-23,2024-12-10,Credit Card,Cancelled,2024-07-26 23:37:56.417394,-35.823070,-7.761832,8799aa7a-072c-4455-939c-c40e790d18ac,143.89.202.97,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.47.3 (KHTML, like Gecko) Version/5.0.2 Safari/534.47.3"
16,James Cooper,ihughes@example.net,"596 Samuel Street Suite 925
Luisside, AL 09293",478-290-9515,2021-11-28,inactive,rich,3,45.65,2023-07-12,2024-12-07,PayPal,Delivered,2024-03-29 23:51:44.445682,-38.114811,99.716017,5aa14a37-af04-4a8c-ab1b-f4b0f3e92837,188.142.108.166,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.16.5 (KHTML, like Gecko) Version/5.1 Safari/531.16.5"
17,Frank Diaz,wbrown@example.com,"45291 Harrison Center
Lake Jenniferchester, CO 80126",806.993.2816x8132,2021-11-07,pending,mission,3,85.38,2023-09-27,2024-12-07,Credit Card,Cancelled,2024-03-19 04:13:11.769539,80.3686945,-133.208412,21871354-5c0d-475f-b46b-bac1a9ee001b,22.205.200.119,"Mozilla/5.0 (Linux; Android 3.2) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/23.0.813.0 Safari/534.0"
18,Christopher Johnson,hooperkevin@example.com,"044 Smith Circle Apt. 969
East Janetown, WA 01356",+1-413-713-8318x78640,2020-05-29,inactive,apply,3,91.09,2024-10-07,2024-11-28,Credit Card,Delivered,2024-11-02 20:57:49.910459,-0.767082,149.520383,e37b3229-c578-4764-9574-651d38dc098c,152.237.50.176,Opera/8.21.(X11; Linux x86_64; ve-ZA) Presto/2.9.184 Version/11.00
19,Angela Velasquez,justinmcdonald@example.net,"349 John Overpass
Port Darren, PW 75190",001-571-731-8899,2023-06-17,pending,data,5,15.12,2024-04-25,2024-11-23,PayPal,Cancelled,2024-03-19 20:05:07.282494,-11.650030,-89.919985,a42c34d4-0f84-4c08-adcf-58082a37c17d,126.15.99.147,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.36.1 (KHTML, like Gecko) Version/4.0.5 Safari/534.36.1"
20,Chad Wright,izimmerman@example.com,"752 Alan Rapid
North Alexfort, NJ 05121",001-258-593-9071x86309,2022-04-28,active,shake,6,35.2,2024-01-11,2024-12-08,Bank Transfer,Delivered,2024-03-28 05:50:05.278967,-45.2753835,49.079543,51e21bdd-8cc1-4d06-a4e7-9b796659737e,19.221.85.35,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/533.36.4 (KHTML, like Gecko) Version/4.0 Safari/533.36.4"
21,John Miller,nealjesus@example.org,"1122 Robert Park Apt. 020
Meganchester, MS 70321",001-335-938-4158x414,2022-06-28,pending,may,7,89.72,2023-06-14,2024-12-08,Credit Card,Delivered,2024-04-15 23:57:14.783801,74.314151,-179.387741,ca8d63e0-d852-4270-ac78-41abaf54d218,113.160.64.14,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/9.4n7061.0 Mobile/69H552 Safari/534.1"
22,Paul Kidd,christina54@example.com,"291 Medina Island Apt. 521
North Mackenziefort, NJ 92293",475-944-6000,2022-05-22,active,first,6,32.01,2023-07-15,2024-12-15,PayPal,Shipped,2024-09-22 01:06:37.375783,-77.6393105,-56.595298,c56811c3-826d-46d3-8fc3-597848a63e10,119.221.193.177,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/532.41.2 (KHTML, like Gecko) Version/4.0 Safari/532.41.2"
23,Angela Smith,april62@example.com,"387 Leslie Estates
Jonesland, GA 43158",6093650039,2022-12-22,active,less,6,76.11,2023-07-29,2024-11-24,Credit Card,Shipped,2023-12-03 16:59:26.445302,-39.5048575,59.611998,106d7e60-d226-4343-9f01-0c2c47315289,88.191.197.202,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_6 rv:2.0; sid-ET) AppleWebKit/532.37.1 (KHTML, like Gecko) Version/5.1 Safari/532.37.1"
24,Matthew Fry,patricia64@example.net,"6078 Bryan Run Apt. 484
Amandastad, VI 60901",001-554-927-6422x700,2021-04-17,active,where,8,62.69,2024-09-09,2024-12-03,Bank Transfer,Processing,2024-02-16 12:44:14.490271,-78.663322,158.947023,3b21c1e9-338f-43a1-b970-07171ed1a31f,219.203.2.244,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.1)
25,Carolyn Phillips,justin01@example.com,"USS Mckee
FPO AA 41460",905.892.2586x7762,2023-11-15,inactive,produce,5,86.14,2022-07-24,2024-12-04,PayPal,Delivered,2024-05-31 21:36:51.238719,51.479373,32.153681,1c275471-5b15-41e2-8a16-a2ca33300528,100.206.194.249,Opera/9.29.(Windows NT 5.0; so-DJ) Presto/2.9.180 Version/11.00
26,Alexis Bowman,bentonsarah@example.com,"6800 Cordova Mills
Paulfort, NM 87334",(244)902-6493x1300,2021-07-05,inactive,management,3,53.54,2024-06-15,2024-12-03,Credit Card,Processing,2024-04-03 22:05:48.780348,1.3897135,104.823681,dd02e0f1-0fd5-4af6-9328-271d0df85a99,199.239.250.129,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/47.0.876.0 Safari/531.1"
27,Jeffrey Burgess,bryan55@example.net,"9974 Stefanie Burg Suite 515
South Jonathanfort, OH 13552",+1-419-863-7708x491,2024-10-09,active,that,8,77.93,2023-11-13,2024-11-24,Bank Transfer,Delivered,2024-01-21 15:06:35.760107,-12.8717605,-46.676711,4f4154c3-2b3d-4948-ad05-13f5727fb464,102.253.254.162,Opera/8.32.(Windows NT 5.0; sq-AL) Presto/2.9.173 Version/12.00
28,James Garner,hillsarah@example.com,"6979 Jacqueline Expressway
North Steven, RI 82467",001-611-432-5137x9155,2024-07-09,active,hour,8,78.97,2024-10-06,2024-12-07,Bank Transfer,Delivered,2024-10-10 23:47:00.811005,60.2110445,-57.142478,c14cdc40-b9bb-4694-80cd-bdbd762a3441,33.185.17.73,Mozilla/5.0 (Windows CE; wa-BE; rv:1.9.1.20) Gecko/8396-09-07 07:34:45.961731 Firefox/3.6.16
29,Crystal Harris,fharrington@example.org,"91314 Chase Ranch
Thomasville, SD 32795",+1-674-289-4057x7633,2024-05-24,inactive,nature,6,37.65,2022-10-22,2024-12-05,Credit Card,Shipped,2024-02-06 08:56:23.751850,19.8551445,-119.914532,8d61b123-530a-4f82-8d63-842d5082423e,141.78.144.0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/54.0.880.0 Safari/535.1"
30,Heather Walter,franciscoward@example.com,"9199 Newton Walks
Lake Kimberly, OK 78269",690-844-8145,2024-11-10,inactive,tend,7,42.58,2022-10-28,2024-12-20,Bank Transfer,Cancelled,2024-02-04 01:03:40.192808,-45.675426,40.253110,a874847b-eae7-4bd5-835d-49f1e814f484,202.248.200.248,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/6053-11-02 23:53:08.779755 Firefox/3.6.2
31,Catherine Mayo,leon04@example.org,"787 Rivers Canyon
South Lisa, IN 35023",001-960-557-5118,2024-06-06,active,work,4,40.45,2024-06-17,2024-12-07,Bank Transfer,Shipped,2024-07-30 02:32:48.172230,11.1544825,-86.369240,7dd83dda-3507-4cb2-89a9-8cc8e26f77d9,96.16.38.97,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.7.7 (KHTML, like Gecko) Version/5.0.4 Safari/533.7.7"
32,Michelle Watts,rebeccaevans@example.org,"Unit 5023 Box 5366
DPO AA 73928",001-750-794-8327x9968,2023-07-11,pending,far,1,75.99,2023-02-16,2024-12-19,PayPal,Processing,2024-04-06 16:02:56.188999,14.837645,-44.414097,0a64e32c-aea5-46c2-9480-1f7fccbbbf5d,35.134.202.34,Mozilla/5.0 (Windows NT 5.01; ks-IN; rv:1.9.1.20) Gecko/8190-09-17 01:04:08.574860 Firefox/6.0
33,David Wright,davidsparks@example.net,"944 Luis Ranch
West Michelleview, KY 48129",001-616-379-0064x600,2020-07-21,active,various,8,69.69,2023-12-24,2024-12-01,Credit Card,Processing,2024-10-31 19:16:22.142468,61.1387315,-60.011974,d89a963c-8914-4443-bbef-9b5cee6de7f5,201.88.24.83,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_2 rv:6.0; ka-GE) AppleWebKit/533.45.4 (KHTML, like Gecko) Version/4.0.2 Safari/533.45.4"
34,Tyler Davis,beth54@example.net,"30513 Thompson Prairie
Carpenterstad, MA 73326",706.803.9195x20891,2021-12-15,active,central,6,70.26,2024-11-20,2024-12-17,PayPal,Delivered,2023-11-28 05:38:45.782641,3.765985,-25.000102,a338489f-4c3b-402f-90fc-10f4590a9cb8,59.194.65.29,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0)
35,Jill Zamora,bbonilla@example.org,"233 Mitchell Route Apt. 817
Autumnshire, UT 57996",+1-764-744-4237x15375,2022-02-06,inactive,hot,8,93.45,2022-05-16,2024-11-30,PayPal,Delivered,2024-08-23 12:59:11.465877,-18.973670,-42.787898,e18cad19-4016-4768-8210-84cb28168924,25.99.96.98,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_6; rv:1.9.2.20) Gecko/2311-09-04 00:23:26.310349 Firefox/3.6.20
36,Thomas Allison,pguerrero@example.org,"176 Gould Knolls Apt. 532
Port Dianebury, ID 03502",+1-211-511-8489,2023-04-02,inactive,actually,10,61.36,2022-05-22,2024-12-17,PayPal,Processing,2024-02-03 10:53:49.503063,65.742579,-109.408461,5932e4d6-055b-48d9-8403-3306a78c2f94,32.157.162.1,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.0)
37,Jennifer Tyler,pfrederick@example.net,"060 Michael Cove
East Darleneberg, DE 20240",+1-289-816-7611,2020-12-10,active,foot,1,18.65,2023-06-26,2024-12-15,PayPal,Delivered,2024-02-15 01:42:11.364167,-32.8345735,-91.280093,de8d739c-feef-4f47-a07a-2f004bda598b,193.167.121.209,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_6) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/30.0.826.0 Safari/536.2"
38,Anthony Lee,carteramy@example.com,"08788 Morrow Overpass Suite 267
West John, KY 34111",(569)201-8811x3445,2022-09-17,inactive,population,7,22.75,2024-04-25,2024-11-27,PayPal,Delivered,2024-02-22 04:56:54.023047,-6.205090,88.255729,4693bda5-ebf2-4eb1-8576-4896b9c6b29e,160.50.20.120,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.1)
39,Jennifer Perez,susanmorgan@example.net,"477 Frey Turnpike
South Sarah, DE 28039",001-397-313-9294,2021-02-21,pending,travel,4,80.5,2024-02-23,2024-12-01,PayPal,Processing,2024-05-06 11:13:10.650249,-71.2553125,-29.665097,720206e4-d77b-488b-8f32-da39c4574969,166.90.67.163,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.1)
40,Dr. Brianna Burnett,george83@example.com,"3054 Boyer Oval
New Daniel, PW 66146",001-795-846-7254,2023-01-17,active,sit,7,39.97,2021-12-30,2024-12-15,PayPal,Delivered,2024-08-15 08:17:24.009263,-76.725843,128.000008,3c4248f7-83d1-45d4-b600-9453e3288992,6.239.127.104,Opera/8.79.(Windows NT 5.01; gv-GB) Presto/2.9.184 Version/11.00
41,Carla Mcgee,kanderson@example.net,"25744 Moss Prairie Apt. 500
Port Andrew, OH 30060",941-451-5781x690,2022-09-17,active,behavior,2,85.69,2024-03-17,2024-12-07,Credit Card,Processing,2024-08-26 06:16:55.013562,40.036451,78.622149,60cc01eb-4b2c-4d59-8f6b-3db3a98ed52b,165.128.20.66,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/59.0.858.0 Safari/534.0"
42,Christine Jones,grahamolivia@example.com,"11931 Hernandez Circle
Riosside, GU 97483",+1-720-974-8247,2022-06-01,active,article,7,78.27,2024-11-18,2024-12-17,PayPal,Processing,2024-11-01 22:35:10.006228,-56.648516,-90.948223,48b213e6-dae5-4320-8362-89bc9513c50d,200.253.34.252,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_8 rv:2.0; pl-PL) AppleWebKit/531.27.1 (KHTML, like Gecko) Version/4.0.2 Safari/531.27.1"
43,Eric Nelson,kathleenortiz@example.net,"29049 John Falls
Port Sarahview, GU 98038",001-544-272-1473x191,2021-04-30,pending,staff,3,40.64,2022-03-30,2024-11-24,Credit Card,Delivered,2024-06-01 08:56:35.649871,-7.021554,-80.504398,9c245f1f-f049-4d7c-a725-b9f1899e5968,1.155.164.214,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.1)
44,Amy Ford,keith59@example.com,"436 Steven Stream Apt. 681
Lake Scott, NE 88530",698.661.9797x3985,2024-09-17,inactive,everybody,3,50.2,2022-07-05,2024-12-07,Bank Transfer,Processing,2024-09-01 12:16:40.836788,4.2552685,62.755357,f4d5ed8c-4fd3-49bc-8063-0be71884f1b9,94.59.112.98,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1)
45,Dean Taylor,lopezkimberly@example.com,"8304 Victoria Fords Suite 793
Philipview, UT 31223",(649)642-9156x36870,2024-03-25,inactive,strategy,5,23.85,2022-02-19,2024-12-19,Bank Transfer,Processing,2023-12-22 23:42:56.553149,13.1181195,-72.932000,3dafa26b-8854-47fd-a6ac-fc75e1da517d,163.236.217.79,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/15.0v7557.0 Mobile/08I173 Safari/531.0"
46,Kathryn Jones,nichole21@example.org,"845 Elizabeth Mews
Monicafurt, AR 68930",7864274910,2020-11-15,active,level,4,97.04,2023-08-27,2024-11-26,PayPal,Cancelled,2024-11-06 21:32:05.036858,-78.9346045,-41.575897,e217bc65-55f1-4aeb-9e02-927b2c49327f,11.54.50.93,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2184-09-02 21:24:02.231782 Firefox/3.6.8
47,Ronald Coffey,denise38@example.com,"96878 Andrea Orchard
North Dianabury, OR 68455",219.587.1130,2020-02-10,pending,role,1,51.8,2024-11-20,2024-12-16,Bank Transfer,Processing,2024-02-01 09:19:06.775485,-75.008586,-47.787954,6a92bd23-e1d9-48c1-8be5-cfdc305d8d65,97.198.237.252,Mozilla/5.0 (Android 3.1; Mobile; rv:29.0) Gecko/29.0 Firefox/29.0
48,Carl Robinson,parsonsjennifer@example.com,"125 Brad Village
Travistown, SC 98639",(305)519-1656,2020-09-27,active,coach,5,17.91,2023-11-27,2024-12-16,PayPal,Processing,2024-07-28 15:02:25.706365,49.0042955,-103.018991,89089c39-6d6e-4dc0-8963-e5780c3e4da8,169.234.70.10,Mozilla/5.0 (Android 8.0.0; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0
49,Patrick Davis,lynchalyssa@example.net,"3377 Karen Forge Suite 927
West Triciaville, OK 09820",735-499-7831,2021-08-29,active,lawyer,2,59.07,2022-06-24,2024-12-05,PayPal,Cancelled,2024-10-22 19:39:28.703471,-86.2373655,-127.474723,c990470d-e52e-4332-8c12-32f740db81b8,207.32.244.76,Mozilla/5.0 (Android 3.2.6; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0
50,Andrea Hickman,scontreras@example.org,"40851 Rodney Isle Suite 027
Triciaberg, RI 97961",263.645.8809x972,2024-01-07,pending,describe,8,73.95,2024-08-11,2024-12-17,Credit Card,Delivered,2024-04-12 03:51:47.006899,-75.213510,-158.427564,9c65f751-b058-4018-9511-e6769e9afe0f,200.183.107.85,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; yi-US) AppleWebKit/532.38.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.38.1"
51,Cynthia Ramos,keith87@example.org,"39101 Hines Club
Callahanport, WI 14352",001-752-557-4383,2023-12-18,pending,role,6,26.03,2024-06-09,2024-11-26,Credit Card,Delivered,2024-10-31 19:40:29.811375,-83.8027265,-29.446525,ca877b6a-db7f-4b44-8338-04d9d85c8672,217.253.183.17,Opera/8.43.(X11; Linux i686; ss-ZA) Presto/2.9.175 Version/11.00
52,Danielle Petty,davisaaron@example.net,"2979 Mays Spurs Apt. 794
Tannerfort, VT 55355",715.819.8042x315,2021-01-28,active,student,1,80.65,2022-08-10,2024-11-30,Bank Transfer,Processing,2024-05-20 04:34:13.553063,5.4998965,-73.360148,fa3f3b8e-f763-4e49-906d-93a7cd6ccade,198.58.27.232,Opera/8.11.(Windows CE; sl-SI) Presto/2.9.170 Version/10.00
53,Garrett Park,alexisperry@example.org,"12341 Hunt Crest
Damonhaven, MN 54128",687-943-0020,2023-10-21,pending,town,4,43.45,2023-01-17,2024-12-05,Credit Card,Delivered,2024-05-06 02:29:18.104536,-4.091475,-172.610712,b1f37830-aef0-4e57-b810-cb79ca649db7,82.105.27.103,Opera/9.91.(Windows 95; ur-IN) Presto/2.9.170 Version/10.00
54,Wesley White,yblack@example.net,"720 Chen Mill
East Kristinafurt, FM 43964",001-479-286-5980x161,2023-09-27,inactive,message,5,90.26,2022-06-20,2024-12-10,Bank Transfer,Processing,2024-03-23 00:09:38.048099,46.154858,116.376987,c9e85337-80c3-47f7-8139-2215230f84f4,108.124.247.26,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.3.4 (KHTML, like Gecko) Version/5.1 Safari/532.3.4"
55,Pamela Hendricks,kathy56@example.com,"8574 Allison Courts Apt. 844
Port Allentown, WI 42615",255.797.1812x06883,2021-05-04,inactive,himself,7,51.05,2022-01-01,2024-12-11,Bank Transfer,Cancelled,2024-11-01 02:28:03.109315,75.2953805,54.039130,8435333f-e3af-46e6-84b5-58046388f21a,202.208.52.241,Opera/9.41.(X11; Linux i686; ka-GE) Presto/2.9.180 Version/12.00
56,Stephen Harding,rebecca35@example.org,"485 Ward Falls Apt. 486
Jillmouth, DC 25292",(368)910-5054,2021-09-25,inactive,enough,1,22.84,2024-10-23,2024-11-24,Credit Card,Cancelled,2024-10-23 01:59:05.102473,71.586963,-124.326514,99e42d75-ee6f-4172-b884-6fcccc16e131,133.37.32.38,Mozilla/5.0 (Android 1.1; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0
57,Joshua Jordan,nbeltran@example.net,"367 Jessica Mill
New Aaronstad, MD 30601",3546053651,2020-08-23,active,smile,9,71.34,2023-09-06,2024-12-18,Credit Card,Cancelled,2024-04-28 18:07:05.130492,-87.8982655,58.603212,48f36e77-fca3-46de-b6c9-08f0f3c9e3f0,70.168.224.194,"Mozilla/5.0 (Linux; Android 2.3) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/40.0.877.0 Safari/533.0"
58,Jerry Gilmore,williamsgregory@example.net,"640 Leach Trafficway
Gonzalesbury, IA 15381",345-961-4221,2022-01-03,pending,law,8,29.03,2023-03-09,2024-12-07,PayPal,Cancelled,2024-02-18 04:34:13.684386,16.1281235,145.692153,2739b429-8cd8-44db-958a-8d0b3ed879bb,84.74.220.199,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_4 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/18.0.825.0 Mobile/40J259 Safari/533.1"
59,Breanna Miller,johnmckee@example.org,"7893 Michelle Roads Suite 315
East Meganview, UT 52998",621-661-6828,2022-08-09,inactive,century,7,38.35,2024-11-07,2024-12-13,Credit Card,Cancelled,2024-04-21 20:40:01.491457,58.3981235,98.965251,1d98c9ac-f37d-4a2f-b2ea-3c0acba4c260,182.242.233.180,"Mozilla/5.0 (iPad; CPU iPad OS 4_3_5 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/18.2s0793.0 Mobile/35X422 Safari/532.1"
60,Catherine Navarro,lozanogregory@example.org,"04382 Kelly Skyway Suite 599
North Roberta, WA 94613",483-325-6310x94382,2020-03-18,pending,read,7,89.2,2023-01-27,2024-12-18,Credit Card,Cancelled,2024-02-01 17:27:47.902838,74.9963545,149.227063,b7a0d90c-0f54-4bda-b2a8-9bf0952c08e1,157.166.106.201,Opera/8.69.(Windows 98; Win 9x 4.90; eu-ES) Presto/2.9.182 Version/10.00
61,Tammy Santiago,medwards@example.net,"951 Barnes Walk
East Jamesmouth, AL 24472",001-944-236-4824x5350,2021-10-29,pending,structure,8,24.11,2022-12-12,2024-12-09,PayPal,Cancelled,2023-11-24 08:41:23.244345,84.7262905,-142.155097,66290a18-649c-4373-bfc2-ad9d29e36f0e,93.232.38.16,Opera/8.67.(Windows NT 5.0; lb-LU) Presto/2.9.189 Version/11.00
